Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
4.4,8.1,2.55,60,0.5429999999999999,1.73,18175,6931,7089,3710,16576,3
2.33,5.5,2.33,18,0.424,1.0,13357,4826,4180,2047,9291,3
6.0,9.0,6.0,6,0.667,1.0,21121,5285,5020,3004,16104,3
1.0,4.0,1.0,3,0.5,0.5,31603,8680,6826,4121,30627,2
5.61,9.0,5.16,147,0.624,1.09,22206,7377,7762,3685,27623,2
4.75,8.42,2.67,36,0.564,1.78,32083,10545,9813,4579,23970,2
4.78,9.56,4.56,27,0.5,1.05,37969,11032,9923,5436,43196,2
5.36,10.45,3.91,66,0.513,1.37,49866,13555,12166,5881,40402,2
4.1,8.1,2.3,30,0.506,1.78,12920,3396,2259,1739,6504,1
5.5,11.0,7.5,6,0.5,0.73,54352,16320,16109,9962,59329,3
4.67,8.06,3.89,54,0.579,1.2,29548,10850,11918,6104,30253,3
5.57,10.22,4.76,138,0.545,1.17,47741,14651,14470,7408,42425,3
14.2,20.2,8.2,15,0.703,1.73,37769,8086,5691,2729,20572,2
5.4,9.4,4.2,30,0.574,1.29,32464,10147,8383,4915,20196,2
5.81,10.65,3.19,93,0.545,1.82,523,149,89,38,269,3
4.3,7.5,3.2,30,0.573,1.34,29037,10512,12826,6403,35217,3
6.27,12.2,6.47,45,0.514,0.97,26172,8066,7110,4270,24487,1
4.89,9.22,3.11,27,0.53,1.57,13263,4310,4411,2210,13234,2
8.0,12.0,2.0,3,0.667,4.0,73758,22687,26975,9835,72307,2
4.92,8.66,2.39,474,0.568,2.06,33556,11019,10659,5581,25423,1
7.0,15.0,3.0,3,0.467,2.33,10381,3074,3384,1425,11524,3
10.0,12.0,3.0,3,0.833,3.33,6689,1807,1694,1038,5125,2
3.2,6.6,4.8,45,0.485,0.67,16715,5896,6206,2754,18918,2
4.72,8.47,3.04,159,0.557,1.55,12171,4438,4399,1898,9303,1
6.88,11.62,3.88,24,0.591,1.77,21915,6548,5935,3776,16413,2
4.0,8.0,2.0,3,0.5,2.0,21735,8983,9850,3648,25178,2
6.47,11.42,3.53,135,0.5660000000000001,1.83,41895,14910,15165,9229,34360,3
5.09,10.39,2.48,99,0.49,2.05,21567,5445,4543,2688,14841,3
5.4,9.8,2.8,15,0.551,1.93,15506,5996,5392,2153,16604,1
5.29,10.14,3.86,21,0.521,1.37,42660,17549,18922,7766,52658,3
1.0,4.33,1.33,9,0.231,0.75,1026,238,160,104,706,2
6.0,8.33,2.0,9,0.72,3.0,19528,8759,9454,3648,18492,2
5.05,9.56,5.38,231,0.625,1.0,3707,1078,894,616,3479,2
5.5,12.5,4.25,12,0.44,1.29,12478,4960,5126,2737,15989,3
6.0,10.0,6.0,3,0.6,1.0,19295,7408,6781,3632,19392,3
5.86,10.57,4.21,42,0.5539999999999999,1.39,43013,12994,14018,7221,39195,3
4.17,10.17,5.83,18,0.569,1.04,35809,11872,10725,5541,38686,3
2.88,4.75,3.0,24,0.605,0.96,33907,11235,11008,5606,30133,1
3.33,9.0,3.67,9,0.382,0.82,31938,9420,8305,3515,30470,1
4.73,8.83,3.14,414,0.536,1.5,34568,10660,9724,3764,34152,2
5.11,9.28,3.94,54,0.551,1.3,26395,9910,8144,4752,22398,3
5.97,10.65,4.74,93,0.561,1.26,47623,16195,15244,7866,45259,3
5.33,9.33,4.0,9,0.5710000000000001,1.33,23773,8523,7464,3781,26779,1
3.0,10.0,4.0,3,0.3989999999999999,0.95,27908,9484,8450,4792,20628,2
0.0,7.0,2.0,3,0.0,0.0,24806,7190,6324,2698,19052,2
5.0,12.0,5.0,3,0.417,1.0,28913,10244,9790,4433,24542,1
6.0,8.33,2.0,9,0.72,3.0,19528,8759,9454,3648,18492,2
7.0,12.5,3.5,12,0.56,2.0,24702,8300,8993,4377,24776,1
4.25,7.75,2.83,36,0.5479999999999999,1.5,49587,17955,19363,8550,46772,2
5.74,10.37,3.59,1029,0.5539999999999999,1.6,32656,7220,5795,3206,27967,3
7.0,12.5,3.0,12,0.56,2.33,36617,10433,9238,4287,28702,2
6.0,9.75,2.5,12,0.615,2.4,21508,4966,3640,2045,14023,1
6.0,10.28,4.89,54,0.584,1.23,27900,9523,9567,5317,23369,3
4.77,7.92,1.77,39,0.602,2.7,11507,4567,5178,2266,9935,1
5.84,9.16,2.16,38,0.638,2.71,398,111,94,61,417,2
