Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
4.61,9.29,3.03,93,0.497,1.52,10619,3283,2585,1817,6018,3
5.4,9.6,2.6,30,0.562,2.08,76812,22772,27366,11578,57159,3
9.0,19.0,5.25,12,0.511,1.09,19202,5880,4916,3163,17032,3
4.61,9.29,3.03,93,0.497,1.52,10619,3283,2585,1817,6018,3
4.61,9.29,3.03,93,0.497,1.52,10619,3283,2585,1817,6018,3
5.44,9.76,3.06,150,0.557,1.78,28521,6918,5796,2855,22447,3
5.45,7.65,2.2,80,0.7120000000000001,2.48,801,233,233,112,585,3
6.11,10.84,3.43,189,0.564,1.78,28521,6918,5796,2855,22447,3
1.0,4.0,0.0,3,0.25,3.0,21056,7396,6592,2748,14186,3
5.0,9.0,3.0,3,0.556,1.67,39064,12059,10737,5449,26394,3
5.68,8.63,4.05,38,0.659,1.4,801,233,233,112,585,3
4.99,9.49,3.41,258,0.526,1.46,45658,15177,14258,7528,40997,3
5.22,8.61,4.17,54,0.606,1.25,17523,8365,7972,3139,20600,3
5.77,10.75,5.42,192,0.536,1.06,35806,11871,10725,5541,38679,3
4.74,7.47,3.21,57,0.634,1.48,1390,404,366,231,892,3
4.94,9.82,3.06,51,0.503,1.62,17523,8365,7972,3139,20600,3
3.11,5.0,1.0,27,0.622,3.11,32253,7020,5607,3266,24129,3
3.67,7.2,4.2,45,0.509,0.87,34199,9609,9303,4136,36605,3
4.17,10.17,5.83,18,0.569,1.04,35809,11872,10725,5541,38686,3
5.97,10.23,2.16,93,0.584,2.76,2772,777,827,433,1890,3
5.64,12.41,3.22,2424,0.4539999999999999,1.75,72844,17481,16186,6842,56302,3
3.17,4.6,0.63,90,0.688,5.0,857,254,180,148,455,3
5.91,12.68,3.22,876,0.466,1.83,72844,17481,16186,6842,56302,3
5.89,10.89,4.33,18,0.541,1.36,4536,1472,2109,514,5173,3
5.25,10.0,3.25,12,0.525,1.62,4726,1634,1543,621,5414,3
3.96,7.51,3.19,816,0.527,1.24,37920,10831,10324,4351,33024,3
7.09,10.86,2.48,192,0.653,2.86,1199,330,242,122,470,3
4.81,8.31,2.81,48,0.579,1.71,20891,7324,6192,3754,18779,3
7.03,10.75,2.45,192,0.654,2.87,1199,330,242,122,470,3
3.87,7.61,3.15,186,0.508,1.23,37872,10016,9292,4285,38222,3
4.67,8.87,2.47,45,0.526,1.89,174,41,10,11,63,3
6.51,10.87,3.36,300,0.599,1.94,10135,3927,3618,1537,9183,3
6.67,11.65,4.48,138,0.573,1.49,10135,3927,3618,1537,9183,3
5.78,10.22,2.56,27,0.565,2.26,242,66,36,25,113,3
5.75,10.31,4.42,108,0.5579999999999999,1.3,5559,1802,1803,1099,7200,3
6.4,10.4,3.4,15,0.615,1.88,300,82,54,49,174,3
4.63,9.11,3.89,114,0.509,1.19,2511,697,691,301,2810,3
4.06,5.61,3.06,54,0.723,1.33,1968,911,670,485,2176,3
4.74,9.28,4.05,183,0.511,1.17,1473,442,286,179,699,3
6.0,6.0,2.0,3,1.0,3.0,3590,1130,1084,455,2203,3
6.93,12.0,5.0,42,0.5770000000000001,1.39,29617,9215,9225,5346,21255,3
8.0,14.0,5.0,3,0.5710000000000001,1.6,29617,9215,9225,5346,21255,3
6.67,11.67,6.0,9,0.5710000000000001,1.11,29617,9215,9225,5346,21255,3
5.85,9.55,2.4,60,0.613,2.44,24243,11420,10907,5355,20466,3
5.75,10.62,5.38,24,0.541,1.07,52699,14043,11757,5867,45042,3
3.74,6.84,3.33,129,0.5479999999999999,1.13,37058,12906,14456,6817,50459,3
4.24,7.05,2.86,63,0.601,1.48,37058,12906,14456,6817,50459,3
4.2,7.4,1.6,15,0.7140000000000001,5.0,33513,14642,16722,7185,44187,3
6.0,10.0,6.0,3,0.6,1.0,19295,7408,6781,3632,19392,3
4.36,8.27,2.94,99,0.527,1.48,19295,7408,6781,3632,19392,3
4.73,9.0,4.6,90,0.526,1.03,37753,11943,12030,5577,38198,3
6.5,12.0,3.75,12,0.542,1.73,29790,13664,15295,6333,38137,3
4.36,8.48,4.16,75,0.514,1.05,37753,11943,12030,5577,38198,3
5.75,10.25,4.5,36,0.561,1.28,26363,8960,9666,4297,25699,3
5.95,10.88,4.68,123,0.547,1.27,15012,2840,1817,1637,13573,3
5.07,8.8,3.2,45,0.5760000000000001,1.58,37058,12906,14456,6817,50459,3
5.64,9.28,3.36,75,0.608,1.68,873,235,110,146,325,3
15.3,20.9,4.2,30,0.732,3.64,22262,7391,8942,4394,24294,3
5.2,10.29,3.97,105,0.506,1.31,31613,10048,9892,4311,32742,3
4.0,6.67,2.67,9,0.6,1.5,37280,10153,9455,4616,37421,3
5.37,7.37,1.59,81,0.7290000000000001,3.37,1121,379,385,209,578,3
2.78,4.89,2.22,27,0.568,1.25,41606,13122,11709,7158,36887,3
